,TOTALS,,,,AGE,,,,DRINKS,,,,RACE,,,,INDUSTRY,,,,ORIENTATION,,,,RELIGION,,,,LIST OF BIRACIAL RACES,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,entertainment / media,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,atheism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,22,,not at all,not at all,often,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,22,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,executive / management,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,buddhism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,hospitality / travel,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,law / legal services,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,law / legal services,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,pacific islander,,artistic / musical / writer,artistic / musical / writer,law / legal services,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,pacific islander,,artistic / musical / writer,artistic / musical / writer,law / legal services,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,pacific islander,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,Other,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,23,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,medicine / health,,bisexual,bisexual,straight,,agnosticism,agnosticism,catholicism,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,military,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,military,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,military,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,military,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,military,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,rarely,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,19,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,18,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,christianity,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
,,,,,19,20,24,,not at all,not at all,socially,,asian,asian,white,,artistic / musical / writer,artistic / musical / writer,other,,bisexual,bisexual,straight,,agnosticism,agnosticism,hinduism,,,,
